date,city,temperature,humidity,wind_speed
2016-09-24,Dnipro,-6.6,60.7,8.0
2017-10-09,Kharkiv,12.9,64.9,12.9
2022-12-16,Kharkiv,32.1,70.8,4.0
2018-10-15,Kharkiv,2.6,33.1,5.0
2023-04-14,Dnipro,31.8,32.4,16.9
2018-08-30,Odesa,12.0,62.2,9.6
2018-07-28,Odesa,-18.3,75.7,17.3
2023-05-13,Dnipro,28.7,80.3,2.6
2019-10-12,Dnipro,14.2,79.2,13.8
2016-04-18,Lviv,12.8,71.4,16.8
2021-06-07,Kharkiv,-13.6,35.7,18.1
2018-02-15,Kharkiv,18.5,46.3,10.3
2016-03-20,Dnipro,-14.5,83.9,4.8
2015-10-26,Kyiv,32.5,89.3,7.6
2017-09-05,Kyiv,9.3,85.0,5.9
2021-01-02,Lviv,17.6,41.8,10.2
2020-04-30,Kharkiv,-4.3,62.6,2.9
2019-12-22,Kyiv,16.0,43.2,13.3
2019-10-17,Lviv,-5.0,69.3,17.7
2019-09-05,Dnipro,0.8,60.8,9.4
2016-02-07,Kharkiv,12.3,73.1,11.9
2020-08-30,Lviv,8.1,89.9,8.2
2018-11-20,Dnipro,26.0,32.6,15.7
2023-06-10,Dnipro,33.8,60.7,1.7
2015-02-24,Kyiv,0.7,66.0,3.8
2015-06-22,Kharkiv,15.6,48.7,13.8
2015-02-03,Dnipro,8.2,34.5,2.0
2023-02-06,Odesa,2.7,58.9,7.4
2025-01-01,Dnipro,22.6,79.9,9.0
2020-09-13,Odesa,3.8,58.4,16.1
2023-07-31,Dnipro,18.4,33.4,17.3
2022-10-20,Odesa,0.1,87.4,4.7
2020-03-10,Odesa,-12.5,64.8,11.4
2016-04-02,Kyiv,24.5,53.6,9.8
2016-04-14,Kyiv,34.0,33.0,2.5
2024-08-26,Kyiv,23.7,46.7,17.8
2021-11-06,Kyiv,1.0,33.8,18.2
2022-06-04,Kharkiv,24.3,96.3,0.3
2022-03-14,Dnipro,-4.8,70.3,8.4
2023-08-14,Kyiv,-6.9,77.0,9.8
2018-08-13,Dnipro,5.5,63.4,16.6
2021-06-26,Lviv,0.5,86.0,2.6
2016-09-05,Kharkiv,6.3,85.4,6.7
2023-03-16,Kyiv,9.1,35.8,13.0
2018-06-25,Lviv,10.5,99.7,9.2
2024-01-02,Dnipro,7.0,58.8,19.1
2021-06-01,Lviv,-15.6,98.8,14.5
2018-07-15,Odesa,32.9,72.8,8.2
2019-04-17,Dnipro,13.7,97.8,3.2
2015-01-18,Odesa,16.4,98.3,12.2
2021-06-17,Dnipro,-17.1,46.2,4.4
2020-02-16,Kharkiv,20.6,61.0,0.7
2017-05-18,Dnipro,-18.3,35.4,13.1
2023-10-01,Lviv,-17.3,82.3,8.7
2017-08-23,Lviv,-11.9,91.9,14.8
2018-04-14,Dnipro,22.7,79.3,1.1
2021-06-26,Odesa,-9.0,92.7,12.1
2021-03-14,Kharkiv,33.9,54.6,7.6
2024-11-27,Kyiv,-15.7,32.2,12.5
2024-08-11,Kharkiv,12.7,36.2,15.3
2024-04-04,Lviv,-9.5,59.8,0.2
2020-08-01,Kharkiv,-16.1,36.2,4.7
2024-06-16,Kharkiv,30.6,84.7,4.8
2023-04-03,Kharkiv,-3.9,60.8,11.1
2023-01-02,Kyiv,20.5,60.7,7.4
2017-06-05,Kyiv,-19.4,44.7,15.2
2019-12-11,Dnipro,0.7,73.8,11.3
