ID,Consumer Type,Consumption (kWh),Generation (kWh),Date
41936f56-c803-4d37-8145-d3acfea006b2,Домогосподарство,238.71,31.41,2025-02-01
7ad882f0-91f9-428c-8994-4e069abe2252,Підприємство,2018.5,1076.13,2025-01-02
b5389c50-5497-4400-88b8-d1221da9cc63,Домогосподарство,279.37,83.88,2025-01-14
cb062334-7d9a-4c4c-8662-4992483e83cb,Підприємство,3642.13,962.21,2025-02-25
07db4249-9816-43b9-864d-1f1d1e9fded4,Домогосподарство,415.75,179.88,2025-02-01
d147fce7-bb78-4e29-8c55-766aa49ed1db,Домогосподарство,241.88,24.93,2025-02-08
2ec8f1cd-cf09-41e0-87cd-528301bb61a4,Підприємство,1523.5,729.43,2025-02-01
31b23ce7-1910-4bf6-aeb9-c90de68eac71,Домогосподарство,242.25,2.09,2025-02-16
768c497a-a0d2-4778-a864-4749184138ab,Домогосподарство,496.07,39.12,2025-02-28
c36417c3-de5d-4b4e-97e4-bd00c5938713,Підприємство,4090.45,2982.59,2025-02-16
b23c9734-3ad2-481f-9e76-6b42bd002d26,Домогосподарство,78.99,71.58,2025-01-06
4b95b11c-4ecb-4b42-a97b-91b9e7cdc0da,Підприємство,4888.61,393.5,2025-02-25
b0e9ba39-7238-4edc-b38c-b49e66150ea5,Підприємство,4652.12,1637.48,2025-01-27
79d8e435-6087-43d7-ab64-27d5c85e5374,Домогосподарство,60.71,57.04,2025-02-03
765e6a39-5203-407d-b84d-77a0671112f5,Домогосподарство,306.89,245.91,2025-01-20
0fc51540-3e6d-4ec5-9a45-8d7b02825350,Підприємство,1327.5,766.98,2025-01-26
fe7db866-5db9-416e-bea2-ff588e5373b8,Підприємство,4178.58,1085.38,2025-01-27
47f1c43a-b4d3-458b-a25a-6087acc749f1,Підприємство,4631.11,2908.59,2025-02-13
77d6d7d7-2c53-4573-92d8-aa7eb944507f,Підприємство,2279.15,652.28,2025-01-23
d25204f6-4280-4e93-a023-da414060292a,Підприємство,4668.27,4033.36,2025-01-21
c568bf36-73b1-4340-8fbd-fd81bb5edc33,Домогосподарство,221.21,220.55,2025-03-01
d35e145c-4e6f-4271-8e1d-6c99ada16610,Підприємство,3075.83,1669.38,2025-02-05
0eaefa49-cfe4-4042-a48c-8dba362800b5,Підприємство,1557.36,1475.51,2025-01-09
4d137e59-b0ae-4601-b89b-4ea7395d5ad5,Підприємство,3682.68,1299.76,2025-03-02
72bfdf26-52e4-4ad5-946b-4fe55a199de3,Підприємство,2511.55,568.25,2025-01-20
5265906f-827a-4b43-8b7d-736272c5f4c9,Домогосподарство,340.66,224.79,2025-02-20
d0d58724-7e83-483e-be71-8d49ac1c9b36,Домогосподарство,469.19,169.22,2025-01-03
70c37735-bcdb-4b5c-b770-1cc40265bd1b,Підприємство,1538.04,839.86,2025-02-14
85d5501b-0fde-4229-adbc-2f2649abdbfb,Домогосподарство,409.16,155.74,2025-01-15
e7f4ef9a-3c9f-459a-9e61-409df82e4f6d,Домогосподарство,317.23,116.6,2025-01-08
30269481-7361-42de-bd4f-040d123716e1,Підприємство,4186.15,3449.23,2025-01-01
acdfede9-7ca5-4411-bc0b-126cda681338,Підприємство,4621.83,1437.27,2025-01-19
301854b7-e366-47b9-9625-d11f5deacce4,Домогосподарство,381.45,54.72,2025-01-04
239d8dda-e6c5-4716-b6da-cc595688d989,Підприємство,1699.92,3.28,2025-01-18
27d7bf9f-fd01-4c8e-a7f7-dc22a9ca54ed,Домогосподарство,154.85,29.68,2025-01-20
3fe1b588-6268-4a5d-92a0-6c2d10068dbb,Підприємство,1118.91,904.63,2025-02-07
f24c5770-bdc5-4664-bc92-280ad56a8649,Підприємство,1844.26,1529.63,2025-02-09
daa1566a-777f-4008-8874-37a462900af2,Домогосподарство,483.18,283.85,2025-01-15
f4c94010-7f29-48c0-94a7-3fbe5c70df8b,Підприємство,2166.43,1709.62,2025-01-22
d45f449c-dec2-4ef8-8d46-e442176bd75c,Домогосподарство,172.47,148.2,2025-02-25
7b3613f2-f3cd-4275-84f6-801c53094fa9,Підприємство,4900.11,1984.72,2025-01-24
a6ef9997-8f85-4049-a73d-a34480691179,Домогосподарство,209.58,154.75,2025-02-04
a7f83357-6b0a-405b-8da6-fd940eea00fb,Підприємство,4879.92,315.04,2025-01-17
58c1c9b4-839d-4c62-8406-ce6ea6be6054,Підприємство,2648.45,471.52,2025-02-01
908965fc-b2c0-430b-b338-1bcd21754129,Підприємство,1691.81,1156.76,2025-02-13
f9b22a80-df19-4193-a95c-9bcb4fba04a6,Домогосподарство,397.28,302.87,2025-02-08
6c0b53cf-356d-4319-8f2b-ef556487398e,Підприємство,3526.89,2045.57,2025-02-02
77eb98da-362f-4ff3-a90a-c76659d9eebe,Домогосподарство,440.21,269.56,2025-02-20
3a49d444-749b-4989-bdb8-a48720e9d7aa,Підприємство,3625.74,2875.48,2025-01-08
2ea814fc-0539-4c61-948e-d8765c080d07,Підприємство,1773.12,1024.11,2025-02-24
56a87d90-433c-4921-b1c2-af3a0cdab2af,Підприємство,4929.75,2494.82,2025-02-02
bdf6235a-aff0-4fcb-a1f4-f984a76b8843,Підприємство,4043.16,282.25,2025-02-20
d72d4873-50a8-4578-a00a-ab8771ab41ee,Підприємство,2161.58,658.27,2025-02-18
8779318b-671e-4802-80d3-e60f9dacaaa3,Домогосподарство,94.28,74.18,2025-02-22
684f66b1-5784-4612-8b7f-2e76187b65cc,Підприємство,3158.69,960.92,2025-01-16
a39dc1b1-1031-4582-85ab-fedf1e706849,Домогосподарство,411.14,209.93,2025-02-20
4a2ef6c7-aaa9-4817-af4f-3871962d0eee,Підприємство,4514.52,3.99,2025-02-21
4a6518c6-7496-4004-a054-3122f5a87ad8,Підприємство,3305.85,1561.07,2025-02-10
7fd8064a-a4b1-497c-9423-8bef3459acb3,Підприємство,4479.46,2826.7,2025-02-08
11fe2be5-d8b7-4fc0-9387-3c4127044cb0,Домогосподарство,203.26,164.12,2025-01-01
f618cbc7-e948-42d7-9df0-1399779d2bba,Підприємство,4276.16,1456.21,2025-02-05
55e1a3c1-47e6-4af3-88a1-653661acd2f9,Домогосподарство,443.77,54.07,2025-01-19
68783d4a-7b88-4e4a-b3d0-be7e24cea127,Підприємство,2087.6,2019.99,2025-01-25
0878aa4c-462a-435b-ba78-7b93a7b7e28d,Домогосподарство,116.28,48.32,2025-02-26
eadb4374-a191-4e2a-9aeb-31cabbf2b8df,Домогосподарство,191.65,12.55,2025-02-09
932321ae-ad13-4a0c-a7bf-65d1ecb8d515,Підприємство,3498.97,172.29,2025-01-26
2c3551fa-df58-46c1-8684-674e3a5b88eb,Домогосподарство,338.74,236.29,2025-01-01
b7a63da2-92a4-446a-b845-31d685513e1f,Підприємство,2589.73,1394.01,2025-02-25
4d4e9f66-cb08-4fdf-a587-acd262c66341,Підприємство,2193.22,1648.56,2025-01-19
dbbe8cc6-d6ed-4382-a7a1-75830cc24301,Підприємство,3491.61,537.06,2025-02-19
8c2b6873-d991-4f3f-a888-9c243fa2f9d0,Підприємство,1369.23,791.2,2025-02-07
e442fff0-47e0-4af7-b9af-57d74939e053,Домогосподарство,431.69,101.98,2025-01-06
dca2e00d-5f37-456d-9dba-0ac8da132088,Домогосподарство,384.28,337.66,2025-02-22
b913a8d0-c600-47db-aaf2-98ba4d580923,Домогосподарство,116.93,113.9,2025-02-07
7430f31b-6a02-498b-a7d5-5c3420677f70,Підприємство,1082.22,357.34,2025-01-16
d3b3f27a-6161-414a-9a62-ee87b961dee3,Домогосподарство,494.45,120.44,2025-02-25
0d8667ea-ed58-46de-ba82-b387afc3de16,Домогосподарство,470.12,166.03,2025-01-23
206e3f9f-6f00-4993-bcbe-edc576b8d220,Домогосподарство,464.3,445.45,2025-01-22
3e56cc67-45f9-49ba-9246-e00bbf04d9ca,Підприємство,1088.78,719.04,2025-01-13
3073b18c-893a-44ef-804f-d67d7c3ee734,Підприємство,1599.93,1396.67,2025-02-11
93325d6f-5395-45de-8dc2-79bcb41a1eea,Підприємство,4743.36,3142.6,2025-02-11
cb500534-8c07-46c4-befa-f1b3d01788d6,Домогосподарство,477.03,94.37,2025-03-03
5a62417c-5f61-4487-8e2d-a192f2731ba7,Домогосподарство,58.5,55.75,2025-02-16
978af5a5-a809-4635-a338-901ab0688b00,Підприємство,3795.5,3180.37,2025-01-11
4596d204-ff36-4d28-8439-ac54c6c422e0,Домогосподарство,154.57,140.14,2025-02-15
55af942e-1f35-457f-b878-54e47d2bd8e8,Домогосподарство,72.72,38.34,2025-01-31
6f6f0f29-e570-463b-a363-833ce1e57ddc,Підприємство,2443.4,1614.24,2025-02-22
2521f347-e9ee-4972-9ceb-c8e1456cabde,Домогосподарство,118.25,103.93,2025-01-06
c8748502-7742-485e-a588-95d9b3615048,Підприємство,2984.5,689.64,2025-01-20
409b115b-28ce-44c6-9b41-cd1e408a2cb8,Домогосподарство,387.27,107.08,2025-02-13
cfe95ea8-c6c7-442a-bcc2-e5fb51ceb697,Домогосподарство,182.64,47.21,2025-01-24
58d1f0ee-4655-4b47-8b06-2f622729bf34,Домогосподарство,463.04,44.18,2025-02-09
878448e2-7fc1-4512-a411-d2f803f70a93,Домогосподарство,446.84,205.99,2025-02-20
92711a62-83d9-46e4-b216-71ef5665db1d,Підприємство,1708.53,1061.22,2025-02-27
cf6aeae0-edeb-4f42-bb26-7136d552c625,Підприємство,2426.66,146.57,2025-02-04
505263aa-8c81-4129-887b-5c8b43d4b85a,Підприємство,2509.42,700.73,2025-02-03
50d7f2fe-c488-4481-b73e-b97583c229b3,Домогосподарство,271.83,207.65,2025-01-22
4faa0f01-86ca-40e2-aef6-f665c80e354c,Підприємство,1212.85,747.76,2025-01-26
d4d53071-cc69-4ed7-9b4f-281cbaccb099,Підприємство,3927.57,651.93,2025-02-02
76e79c91-3455-4609-b605-093206a55c65,Підприємство,3103.26,2723.35,2025-01-25
f033851f-3f6b-414a-b9d4-a1fb59fd7c76,Домогосподарство,51.85,8.4,2025-02-09
f67eaf3e-ec96-46c7-9f14-1c2871723774,Підприємство,2925.37,1089.04,2025-01-04
2c6c93b8-989d-44e9-9462-da0ffbbd7921,Домогосподарство,136.19,78.38,2025-02-04
d0b7589b-fc61-49fc-a408-162b250ace39,Підприємство,3562.5,2699.22,2025-01-15
90a51d21-b866-494c-99df-c62fcfe4f43c,Домогосподарство,376.04,175.01,2025-01-26
2e213d8f-0218-430a-9d99-3156414be1d6,Підприємство,4766.69,1133.19,2025-02-07
9a71b668-6dd4-4da9-9313-0a406eec1969,Домогосподарство,474.68,81.22,2025-01-04
