"Time (s)","Illuminance (lx)"
3.474850000E-3,2.360000000E2
2.811621700E-2,2.330000000E2
1.080230140E-1,2.360000000E2
1.479796930E-1,2.350000000E2
1.879403570E-1,2.460000000E2
2.278859820E-1,2.680000000E2
2.678381700E-1,2.890000000E2
3.077987950E-1,3.130000000E2
3.477560220E-1,3.360000000E2
3.877272720E-1,3.380000000E2
4.276795760E-1,3.530000000E2
4.676274670E-1,3.470000000E2
5.075751620E-1,3.520000000E2
5.475157090E-1,3.470000000E2
5.874581310E-1,3.480000000E2
6.274140290E-1,3.500000000E2
6.673743810E-1,3.520000000E2
8.271544200E-1,3.510000000E2
8.670995760E-1,3.490000000E2
1.026936412E0,3.500000000E2
1.066890631E0,3.510000000E2
1.106831842E0,3.520000000E2
1.146765748E0,3.530000000E2
1.186706178E0,3.540000000E2
1.226639186E0,3.570000000E2
1.266585748E0,3.580000000E2
1.306536100E0,3.600000000E2
1.346483092E0,3.590000000E2
1.386422779E0,3.600000000E2
1.426376334E0,3.650000000E2
1.466334732E0,3.710000000E2
1.546262350E0,3.800000000E2
1.586227818E0,3.880000000E2
1.626202272E0,3.870000000E2
1.666160748E0,3.890000000E2
1.706118522E0,3.880000000E2
1.746078482E0,3.810000000E2
1.786043912E0,3.850000000E2
1.826007701E0,3.790000000E2
1.865967272E0,3.770000000E2
1.905914381E0,3.760000000E2
1.945844303E0,3.780000000E2
1.985790787E0,3.830000000E2
2.025743795E0,3.840000000E2
2.065710514E0,3.870000000E2
2.105664029E0,3.840000000E2
2.145633170E0,3.850000000E2
2.225509732E0,3.880000000E2
2.265454889E0,3.930000000E2
2.305388834E0,3.990000000E2
2.345323795E0,4.010000000E2
2.425215514E0,4.060000000E2
2.465159264E0,4.100000000E2
2.505108873E0,4.150000000E2
2.545063092E0,4.200000000E2
2.585003014E0,4.160000000E2
2.624938404E0,4.180000000E2
2.664887740E0,4.230000000E2
2.704835397E0,4.270000000E2
2.744794576E0,4.360000000E2
