"Time (s)","Illuminance (lx)"
3.504419000E-3,6.234400000E4
1.384602100E-2,6.248200000E4
5.382707600E-2,6.238100000E4
9.380609900E-2,6.267500000E4
1.337710600E-1,6.222600000E4
1.737260600E-1,6.187600000E4
2.136965680E-1,6.145500000E4
2.536574660E-1,6.165200000E4
2.936114900E-1,6.162100000E4
3.335831300E-1,6.248000000E4
3.735525050E-1,6.329500000E4
4.135303960E-1,6.378200000E4
4.534984430E-1,6.449600000E4
4.934698880E-1,6.427200000E4
5.334431300E-1,6.499100000E4
5.734150830E-1,6.558900000E4
6.134030130E-1,6.578200000E4
6.533900440E-1,6.584200000E4
6.933685990E-1,6.578200000E4
7.333405520E-1,6.579800000E4
7.732961770E-1,6.582700000E4
8.132553570E-1,6.596100000E4
8.532321930E-1,6.600000000E4
8.932163330E-1,6.596100000E4
9.331943020E-1,6.602900000E4
9.731798100E-1,6.619600000E4
1.013152701E0,6.621100000E4
1.053137701E0,6.623700000E4
1.093118482E0,6.621800000E4
1.133095201E0,6.628500000E4
1.173064380E0,6.629500000E4
1.213033404E0,6.629000000E4
1.253013521E0,6.631900000E4
1.332935787E0,6.654800000E4
1.372916373E0,6.675200000E4
1.412888365E0,6.678300000E4
1.532784771E0,6.652000000E4
1.572743287E0,6.624900000E4
1.612707466E0,6.619600000E4
1.652672037E0,6.614300000E4
1.732628365E0,6.628200000E4
1.772609966E0,6.647100000E4
1.812578208E0,6.661800000E4
1.852557232E0,6.669200000E4
1.892538833E0,6.667100000E4
1.932519029E0,6.654100000E4
1.972488560E0,6.645200000E4
2.012456021E0,6.638500000E4
2.052424146E0,6.585600000E4
2.092384498E0,6.595600000E4
2.132350865E0,6.553100000E4
2.172326177E0,6.563800000E4
2.212296373E0,6.596200000E4
2.252257466E0,6.733700000E4
2.292222232E0,6.721200000E4
2.332191294E0,6.788700000E4
2.412160123E0,6.758500000E4
2.452141490E0,6.661000000E4
2.532065982E0,6.713400000E4
2.572038248E0,6.856200000E4
